FILM;DEMONY WOJNY WED£UG GOI
MUZYKA;CZERWONE GITARY
PRZYS£OWIA;BABA Z WOZU KONIOM L¯EJ
PRZYS£OWIA;¯EBY KÓZKA NIE SKAKA£A TO BY NÓ¯KI NIE Z£AMA£A
PRZYS£OWIA;A co po czyjej wielkoœci, jak nie ma w g³owie m¹droœci
PRZYS£OWIA;Apetyt roœnie w miarê jedzenia.
PRZYS£OWIA;Atak jest najlepsz¹ obron¹.
PRZYS£OWIA;Biednemu zawsze wiatr w oczy.
PRZYS£OWIA;Bogatemu to i byk siê ocieli.
PRZYS£OWIA;Byæ pracowitym jak pszczo³a.
PRZYS£OWIA;Cel uœwiêca œrodki.
PRZYS£OWIA;Co ciê nie zabije, to ciê wzmocni.
PRZYS£OWIA;Co dwie g³owy, to nie jedna.
PRZYS£OWIA;Co ma wisieæ, nie utonie.
PRZYS£OWIA;Co z oczu, to z serca.
PRZYS£OWIA;Co za du¿o – to niezdrowo.
PRZYS£OWIA;Czas to pieni¹dz
PRZYS£OWIA;Czego Jaœ siê nie nauczy, tego Jan nie bêdzie umia³
PRZYS£OWIA;Cz³owiek cz³owiekowi wilkiem
PRZYS£OWIA;Czuæ siê jak ryba w wodzie
PRZYS£OWIA;Daj kurze grzêdê, a ona: wy¿ej siêdê
PRZYS£OWIA;Darowanemu koniowi w zêby siê nie zagl¹da
PRZYS£OWIA;Dla chc¹cego nic trudnego
PRZYS£OWIA;Do trzech razy sztuka
PRZYS£OWIA;Dopóty dzban wodê nosi, dopóki mu siê ucho nie urwie
PRZYS£OWIA;Dzieci i ryby g³osu nie maj¹
PRZYS£OWIA;Elektryka pr¹d nie tyka
PRZYS£OWIA;Fortuna ko³em siê toczy
PRZYS£OWIA;Gdzie drwa r¹bi¹, tam wióry lec¹
PRZYS£OWIA;Gdy kota nie ma, myszy harcuj¹
PRZYS£OWIA;Gdzie diabe³ nie mo¿e, tam babê poœle
PRZYS£OWIA;Gdzie dwóch Polaków, tam trzy zdania
PRZYS£OWIA;Gdzie dwóch siê bije, tam trzeci korzysta
PRZYS£OWIA;Gdzie kucharek szeœæ, tam nie ma co jeœæ
PRZYS£OWIA;G³odnemu chleb na myœli
PRZYS£OWIA;G³upich nie siej¹, sami siê rodz¹
PRZYS£OWIA;Grosz do grosza, a bêdzie kokosza
PRZYS£OWIA;Jak sobie poœcielesz, tak siê wyœpisz
PRZYS£OWIA;Jedna jaskó³ka wiosny nie czyni
PRZYS£OWIA;Jeszcze siê taki nie urodzi³, co by wszystkim dogodzi³
PRZYS£OWIA;Jeœli wejdziesz miêdzy wrony, musisz krakaæ jak i one
PRZYS£OWIA;Krowa, która du¿o ryczy, ma³o mleka daje
PRZYS£OWIA;Kto pod kim do³ki kopie, ten sam w nie wpada
PRZYS£OWIA;Kto pyta, nie b³¹dzi
PRZYS£OWIA;K³amstwo ma krótkie nogi
PRZYS£OWIA;Kogut myœla³ o niedzieli, a w sobotê ³eb uciêli
PRZYS£OWIA;Kombinuje jak koñ pod górê
PRZYS£OWIA;Komu w drogê, temu czas
PRZYS£OWIA;Kruk krukowi oka nie wykole
PRZYS£OWIA;Kuj ¿elazo póki gor¹ce
PRZYS£OWIA;Lepiej dmuchaæ na zimne ni¿ siê gor¹cym sparzyæ
PRZYS£OWIA;Lepiej póŸno ni¿ wcale
PRZYS£OWIA;Lepiej z m¹drym zgubiæ ni¿ z g³upim znaleŸæ
PRZYS£OWIA;Lepiej ze swoimi p³akaæ ni¿ z obcymi skakaæ
PRZYS£OWIA;Lepszy wróbel w garœci ni¿ go³¹b na dachu
PRZYS£OWIA;Ten siê œmieje, kto siê œmieje ostatni
PRZYS£OWIA;Trafi³a kosa na kamieñ
PRZYS£OWIA;Trafi³o siê œlepej kurze ziarno
PRZYS£OWIA;Umar³ król, niech ¿yje król
PRZYS£OWIA;Wilk syty i owca ca³a
PRZYS£OWIA;Wszêdzie dobrze, ale w domu najlepiej
PRZYS£OWIA;Wysz³o szyd³o z worka
PRZYS£OWIA;Z du¿ej chmury ma³y deszcz
PRZYS£OWIA;Zapomnia³ wó³, kiedy cielêciem by³
PRZYS£OWIA;Zgoda buduje, niezgoda rujnuje
PRZYS£OWIA;Ziarnko do ziarnka, a zbierze siê miarka
PRZYS£OWIA;Æwiczenie czyni mistrza
PRZYS£OWIA;¯adna praca nie hañbi
PRZYS£OWIA;Potrzeba jest matk¹ wynalazków
PRZYS£OWIA;Prawdziwych przyjació³ poznaje siê w biedzie
PRZYS£OWIA;Raz na wozie, raz pod wozem
PRZYS£OWIA;Stara mi³oœæ nie rdzewieje
PRZYS£OWIA;Strach ma wielkie oczy
PRZYS£OWIA;Szewc bez butów chodzi
PRZYS£OWIA;Nosi³ wilk razy kilka, ponieœli i wilka
PRZYS£OWIA;Od przybytku g³owa nie boli
PRZYS£OWIA;Polak, Wêgier – dwa bratanki, i do szabli, i do szklanki
PRZYS£OWIA;Kuæ ¿elazo, póki gor¹ce
